ticker,vb_k,stoploss_pct,trailing_activate_pct,trailing_stop_pct,return_pct,win_rate,trades,mdd_pct,profit_factor,sharpe,score
삼성전자,0.7,1.5,3.0,1.5,72.11,58.6,70,8.15,2.28,1.49,58.15
KODEX200,0.7,2.0,2.0,0.5,75.69,77.3,75,8.13,2.7,2.0,61.97
KODEX코스닥150,0.7,2.0,2.0,0.5,24.04,63.5,52,10.47,1.62,0.81,51.49
삼성전자,0.7,2.0,2.0,0.5,76.17,67.5,83,11.35,2.2,1.48,56.87
KODEX200,0.7,2.0,2.0,1.0,61.97,75.3,73,8.2,2.35,1.75,59.53
KODEX코스닥150,0.7,2.0,2.0,1.0,21.58,63.3,49,10.87,1.58,0.74,51.06
삼성전자,0.7,2.0,2.0,1.0,62.08,64.2,81,13.64,1.97,1.26,52.44
KODEX200,0.7,2.0,2.0,1.5,64.42,75.0,72,8.2,2.4,1.78,59.96
KODEX코스닥150,0.7,2.0,2.0,1.5,20.27,63.3,49,10.88,1.55,0.71,50.84
삼성전자,0.7,2.0,2.0,1.5,57.4,64.1,78,14.25,1.95,1.24,51.52
KODEX200,0.7,2.0,2.5,0.5,68.27,72.9,70,8.15,2.38,1.78,60.39
KODEX코스닥150,0.7,2.0,2.5,0.5,31.68,64.6,48,9.32,1.82,0.99,54.2
삼성전자,0.7,2.0,2.5,0.5,79.23,65.3,75,10.66,2.25,1.52,58.24
KODEX200,0.7,2.0,2.5,1.0,52.98,71.0,69,8.09,2.05,1.51,57.71
KODEX코스닥150,0.7,2.0,2.5,1.0,26.61,63.0,46,9.75,1.7,0.86,52.95
삼성전자,0.7,2.0,2.5,1.0,66.59,63.5,74,11.87,2.03,1.33,55.05
KODEX200,0.7,2.0,2.5,1.5,54.86,70.6,68,8.09,2.08,1.54,58.03
KODEX코스닥150,0.7,2.0,2.5,1.5,25.65,63.0,46,9.72,1.67,0.83,52.81
삼성전자,0.7,2.0,2.5,1.5,60.09,63.9,72,12.1,1.99,1.29,54.12
KODEX200,0.7,2.0,3.0,0.5,51.75,68.7,67,9.83,1.99,1.44,55.95
KODEX코스닥150,0.7,2.0,3.0,0.5,33.17,64.6,48,9.23,1.85,1.02,54.5
삼성전자,0.7,2.0,3.0,0.5,73.1,63.0,73,10.91,2.14,1.43,56.81
KODEX200,0.7,2.0,3.0,1.0,47.97,68.2,66,9.85,1.91,1.34,55.33
KODEX코스닥150,0.7,2.0,3.0,1.0,27.94,63.0,46,9.81,1.73,0.89,53.11
삼성전자,0.7,2.0,3.0,1.0,65.04,61.1,72,11.82,1.99,1.29,54.56
